License report for tunnel-client release flavor: runtime-cloudflared
Platforms: linux/amd64, linux/arm64, darwin/amd64, darwin/arm64, windows/amd64, windows/arm64
Tests included: false
License summary (all licenses currently in use; additions require legal approval and #release-approval sign-off):
  Apache-2.0
  BSD-3-Clause
  MIT

DEPENDENCY|TYPE|VERSION|LICENSES|LICENSE_FILE|PLATFORMS
github.com/prometheus/common|transitive|v0.66.1|Apache-2.0|github.com/prometheus/common@v0.66.1/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/prometheus/otlptranslator|transitive|v0.0.2|Apache-2.0|github.com/prometheus/otlptranslator@v0.0.2/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/prometheus/procfs|transitive|v0.17.0|Apache-2.0|github.com/prometheus/procfs@v0.17.0/LICENSE|linux/amd64,linux/arm64
github.com/segmentio/asm|transitive|v1.1.3|MIT|github.com/segmentio/asm@v1.1.3/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/segmentio/encoding|transitive|v0.5.4|MIT|github.com/segmentio/encoding@v0.5.4/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/spf13/cobra|direct|v1.9.1|Apache-2.0|github.com/spf13/cobra@v1.9.1/LICENSE.txt|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/spf13/pflag|direct|v1.0.6|BSD-3-Clause|github.com/spf13/pflag@v1.0.6/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/wk8/go-ordered-map/v2|transitive|v2.1.8|Apache-2.0|github.com/wk8/go-ordered-map/v2@v2.1.8/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/yosida95/uritemplate/v3|transitive|v3.0.2|BSD-3-Clause|github.com/yosida95/uritemplate/v3@v3.0.2/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/auto/sdk|transitive|v1.2.1|Apache-2.0|go.opentelemetry.io/auto/sdk@v1.2.1/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp|direct|v0.63.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp@v0.63.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel@v1.41.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/exporters/prometheus|direct|v0.60.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/exporters/prometheus@v0.60.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/metric|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/metric@v1.41.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/sdk|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/sdk@v1.41.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/sdk/metric|direct|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/sdk/metric@v1.41.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/trace|transitive|v1.41.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/trace@v1.41.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.uber.org/dig|transitive|v1.19.0|MIT|go.uber.org/dig@v1.19.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.uber.org/fx|direct|v1.23.0|MIT|go.uber.org/fx@v1.23.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.uber.org/multierr|transitive|v1.11.0|MIT|go.uber.org/multierr@v1.11.0/LICENSE.txt|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.uber.org/zap|transitive|v1.27.0|MIT|go.uber.org/zap@v1.27.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.yaml.in/yaml/v2|transitive|v2.4.2|Apache-2.0|go.yaml.in/yaml/v2@v2.4.2/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/net/publicsuffix|transitive|v0.43.0|BSD-3-Clause|golang.org/x/net@v0.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/oauth2|transitive|v0.35.0|BSD-3-Clause|golang.org/x/oauth2@v0.35.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/sync|direct|v0.20.0|BSD-3-Clause|golang.org/x/sync@v0.20.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/sys|direct|v0.41.0|BSD-3-Clause|golang.org/x/sys@v0.41.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/time/rate|transitive|v0.15.0|BSD-3-Clause|golang.org/x/time@v0.15.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
google.golang.org/protobuf|transitive|v1.36.8|BSD-3-Clause|google.golang.org/protobuf@v1.36.8/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
gopkg.in/yaml.v3|direct|v3.0.1|MIT|gopkg.in/yaml.v3@v3.0.1/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
