License report for tunnel-client release flavor: cloudflared-binary
Platforms: linux/amd64, linux/arm64, darwin/amd64, darwin/arm64, windows/amd64, windows/arm64
Tests included: false
License summary (all licenses currently in use; additions require legal approval and #release-approval sign-off):
  Apache-2.0
  BSD-2-Clause
  BSD-3-Clause
  MIT

DEPENDENCY|TYPE|VERSION|LICENSES|LICENSE_FILE|PLATFORMS
github.com/rs/zerolog|direct|v1.20.0|MIT|github.com/rs/zerolog@v1.20.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/russross/blackfriday/v2|transitive|v2.1.0|BSD-2-Clause|github.com/russross/blackfriday/v2@v2.1.0/LICENSE.txt|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/shirou/gopsutil/v4|direct|v4.26.3|BSD-3-Clause|github.com/shirou/gopsutil/v4@v4.26.3/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/tklauser/go-sysconf|transitive|v0.3.16|BSD-3-Clause|github.com/tklauser/go-sysconf@v0.3.16/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64
github.com/tklauser/numcpus|transitive|v0.11.0|Apache-2.0|github.com/tklauser/numcpus@v0.11.0/LICENSE|linux/amd64,linux/arm64
github.com/urfave/cli/v2|direct|v2.3.1-0.20210324024421-b6ea8234fe3d|MIT|github.com/ipostelnik/cli/v2@v2.3.1-0.20210324024421-b6ea8234fe3d/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
github.com/yusufpapurcu/wmi|transitive|v1.2.4|MIT|github.com/yusufpapurcu/wmi@v1.2.4/LICENSE|windows/amd64,windows/arm64
go.opentelemetry.io/auto/sdk|transitive|v1.2.1|Apache-2.0|go.opentelemetry.io/auto/sdk@v1.2.1/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/contrib/propagators/jaeger|transitive|v0.22.0|Apache-2.0|go.opentelemetry.io/contrib/propagators@v0.22.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel|direct|v1.43.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel@v1.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/exporters/otlp/otlptrace|direct|v1.43.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/exporters/otlp/otlptrace@v1.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/metric|transitive|v1.43.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/metric@v1.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/sdk|direct|v1.43.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/sdk@v1.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/otel/trace|direct|v1.43.0|Apache-2.0, BSD-3-Clause|go.opentelemetry.io/otel/trace@v1.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.opentelemetry.io/proto/otlp|direct|v1.10.0|Apache-2.0|go.opentelemetry.io/proto/otlp@v1.10.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
go.uber.org/automaxprocs|direct|v1.6.0|MIT|go.uber.org/automaxprocs@v1.6.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/crypto|direct|v0.52.0|BSD-3-Clause|golang.org/x/crypto@v0.52.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/net|direct|v0.55.0|BSD-3-Clause|golang.org/x/net@v0.55.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/oauth2|transitive|v0.36.0|BSD-3-Clause|golang.org/x/oauth2@v0.36.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/sync/errgroup|transitive|v0.20.0|BSD-3-Clause|golang.org/x/sync@v0.20.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/sys|direct|v0.45.0|BSD-3-Clause|golang.org/x/sys@v0.45.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/term|direct|v0.43.0|BSD-3-Clause|golang.org/x/term@v0.43.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
golang.org/x/text|transitive|v0.37.0|BSD-3-Clause|golang.org/x/text@v0.37.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
google.golang.org/genproto/googleapis/api/httpbody|transitive|v0.0.0-20260226221140-a57be14db171|Apache-2.0|google.golang.org/genproto/googleapis/api@v0.0.0-20260226221140-a57be14db171/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
google.golang.org/genproto/googleapis/rpc/status|transitive|v0.0.0-20260226221140-a57be14db171|Apache-2.0|google.golang.org/genproto/googleapis/rpc@v0.0.0-20260226221140-a57be14db171/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
google.golang.org/grpc|transitive|v1.81.1|Apache-2.0|google.golang.org/grpc@v1.81.1/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
google.golang.org/protobuf|direct|v1.36.11|BSD-3-Clause|google.golang.org/protobuf@v1.36.11/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
gopkg.in/natefinch/lumberjack.v2|direct|v2.0.0|MIT|gopkg.in/natefinch/lumberjack.v2@v2.0.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
gopkg.in/yaml.v2|transitive|v2.4.0|Apache-2.0|gopkg.in/yaml.v2@v2.4.0/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
gopkg.in/yaml.v3|direct|v3.0.1|MIT|gopkg.in/yaml.v3@v3.0.1/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
nhooyr.io/websocket|direct|v1.8.7|MIT|nhooyr.io/websocket@v1.8.7/LICENSE.txt|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
zombiezen.com/go/capnproto2|direct|v2.18.0|MIT|zombiezen.com/go/capnproto2@v2.18.0+incompatible/LICENSE|darwin/amd64,darwin/arm64,linux/amd64,linux/arm64,windows/amd64,windows/arm64
